x0_1;x0_2;HJ_X1;HJ_X2;HJ_Y;HJ_Wywolania;;;Rosen_X1;Rosen_X2;Rosen_Y;Rosen_Wywolania;
-0.9;0.33;-0.774716;4.57764e-07;0,619837;301;;;;-0.774716;2.46738e-07;0,619837;301
-0.95;0.73;-0.774715;0.774715;1,23967;229;;;;-0.774716;0.774716;1,23967;229
-0.56;0.92;-0.774716;0.774716;1,23967;297;;;;-0.774716;0.774715;1,23967;297
-0.84;-0.89;-0.774716;-0.774716;1,23967;437;;;;-0.774715;-0.774716;1,23967;437
0.96;-0.33;0.774716;-4.57764e-07;0,619837;73;;;;0.810001;-0.0300011;0,687717;73
-0.27;0.8;4.57764e-07;0.774715;0,619837;253;;;;1.28166e-07;0.774716;0,619837;253
-0.08;-0.71;-7.62939e-08;-0.774716;0,619837;457;;;;-3.20777e-07;-0.774717;0,619837;457
0.36;0.12;0.774716;-4.57764e-07;0,619837;73;;;;0.659999;6.86646e-07;0,981617;73
-0.73;0.49;-0.774715;0.774716;1,23967;229;;;;-0.774717;0.774716;1,23967;229
0.83;0.23;0.774716;7.62939e-08;0,619837;377;;;;0.774716;-9.13613e-07;0,619837;377
0.34;0.04;0.774716;-5.34058e-07;0,619837;73;;;;0.639999;-5.34058e-07;1,10059;73
0.31;0.86;1.52588e-07;0.774716;0,619837;281;;;;-5.06323e-07;0.774717;0,619837;281
-0.86;-0.84;-0.774716;-0.774716;1,23967;309;;;;-0.774716;-0.774716;1,23967;309
-0.87;-0.7;-0.774715;-0.774716;1,23967;321;;;;-0.774716;-0.774716;1,23967;321
-0.18;-0.67;-4.57764e-07;-0.774716;0,619837;285;;;;1.15968e-06;-0.774716;0,619837;285
0.69;-0.77;0.774716;-0.774716;1,23967;157;;;;0.774716;-0.774716;1,23967;157
-0.46;0.01;-1.52588e-07;1.52588e-07;1,48E-12;73;;;;-0.160001;-9.91821e-07;0,716592;73
-0.06;0.62;2.28882e-07;0.774716;0,619837;329;;;;2.99774e-07;0.774716;0,619837;329
0.08;0.23;7.62939e-08;7.62939e-08;3,71E-13;329;;;;5.92578e-07;3.79605e-07;1,58E-11;329
-0.69;0.82;-0.774716;0.774716;1,23967;389;;;;-0.774716;0.774715;1,23967;389
0.55;0.24;0.774716;2.28882e-07;0,619837;321;;;;0.774716;-1.30275e-06;0,619837;321
-0.74;-0.25;-0.774716;-3.8147e-07;0,619837;357;;;;-0.774715;-1.57969e-07;0,619837;357
0.65;-0.3;0.774715;-5.55112e-17;0,619837;73;;;;0.774715;-1.14441e-06;0,619837;73
0.75;0.4;0.774716;0.774716;1,23967;73;;;;0.774716;0.699999;1,40274;73
0.33;-0.56;4.57764e-07;-0.774716;0,619837;225;;;;-4.33545e-08;-0.774715;0,619837;225
-0.49;-0.21;-0.774716;2.28882e-07;0,619837;477;;;;-0.774715;-9.70786e-08;0,619837;477
0.68;-0.62;0.774716;-0.774716;1,23967;317;;;;0.774716;-0.774715;1,23967;317
-0.54;0.31;-0.774716;1.52588e-07;0,619837;241;;;;-0.774717;-7.31939e-07;0,619837;241
0.71;-0.56;0.774716;-0.774716;1,23967;417;;;;0.774716;-0.774716;1,23967;417
-0.27;-0.75;4.57764e-07;-0.774716;0,619837;369;;;;-5.50989e-07;-0.774717;0,619837;369
0.5;-0.27;0.774715;4.57764e-07;0,619837;237;;;;0.774716;1.02626e-06;0,619837;237
0.24;0.1;2.28882e-07;3.8147e-07;6,30E-12;281;;;;-4.77019e-07;7.40894e-07;2,47E-11;281
0.76;0.1;0.774716;3.8147e-07;0,619837;321;;;;0.774716;4.27795e-07;0,619837;321
0.43;-0.84;0.774715;-0.774716;1,23967;73;;;;0.729999;-0.774715;1,3001;73
0.63;0.56;0.774716;0.774716;1,23967;349;;;;0.774716;0.774716;1,23967;349
0.03;-0.46;4.57764e-07;-1.52588e-07;7,41E-12;73;;;;4.57764e-07;-0.160001;0,716592;73
-0.12;-0.94;4.57764e-07;-0.774716;0,619837;389;;;;5.19635e-07;-0.774715;0,619837;389
0.4;-0.39;0.774716;-2.28882e-07;0,619837;73;;;;0.699999;-0.0900011;1,0306;73
0.58;0.99;0.774715;0.774716;1,23967;457;;;;0.774715;0.774717;1,23967;457
-0.67;-0.12;-0.774716;4.57764e-07;0,619837;373;;;;-0.774716;-5.18214e-07;0,619837;373
0.36;-0.84;0.774716;-0.774716;1,23967;73;;;;0.659999;-0.774715;1,60145;73
0.23;-0.92;7.62939e-08;-0.774716;0,619837;353;;;;1.15572e-06;-0.774716;0,619837;353
-0.47;0.88;-3.05176e-07;0.774715;0,619837;73;;;;-0.170001;0.774715;1,4153;73
0.73;-0.95;0.774715;-0.774715;1,23967;341;;;;0.774716;-0.774716;1,23967;341
-0.32;-0.29;-3.05176e-07;1.52588e-07;3,71E-12;73;;;;-0.0200011;1.52588e-07;0,0127131;73
-0.41;-0.81;-5.34058e-07;-0.774716;0,619837;73;;;;-0.110001;-0.774717;0,982496;73
-0.78;-0.88;-0.774716;-0.774715;1,23967;329;;;;-0.774716;-0.774716;1,23967;329
-0.62;0.52;-0.774716;0.774716;1,23967;333;;;;-0.774716;0.774716;1,23967;333
-0.7;0.5;-0.774716;0.774715;1,23967;213;;;;-0.774715;0.774716;1,23967;213
-0.92;0.01;-0.774716;1.52588e-07;0,619837;373;;;;-0.774716;-8.62577e-07;0,619837;373
-0.29;-0.1;1.52588e-07;-3.8147e-07;5,38E-12;209;;;;7.26043e-07;-6.94419e-07;3,21E-11;209
0.12;0.48;-4.57764e-07;0.774716;0,619837;301;;;;-7.00995e-07;0.774716;0,619837;301
0.66;0.71;0.774716;0.774716;1,23967;297;;;;0.774717;0.774716;1,23967;297
-0.6;-0.67;-0.774716;-0.774716;1,23967;449;;;;-0.774716;-0.774716;1,23967;449
0.44;-0.7;0.774716;-0.774716;1,23967;73;;;;0.739999;-0.774715;1,27643;73
0.17;-0.49;3.05176e-07;-0.774716;0,619837;241;;;;-2.44982e-07;-0.774716;0,619837;241
0.4;-0.21;0.774716;2.28882e-07;0,619837;73;;;;0.699999;2.28882e-07;0,782899;73
0.75;-0.39;0.774716;-2.28882e-07;0,619837;73;;;;0.774716;-0.0900011;0,867537;73
0.56;-0.57;0.774716;-0.774715;1,23967;357;;;;0.774716;-0.774717;1,23967;357
0.78;-0.28;0.774716;3.05176e-07;0,619837;289;;;;0.774717;-2.7449e-07;0,619837;289
0.68;0.28;0.774716;-3.05176e-07;0,619837;201;;;;0.774716;4.0656e-07;0,619837;201
-0.33;0.48;-4.57764e-07;0.774716;0,619837;73;;;;-0.0300011;0.774715;0,64837;73
-0.41;-0.34;-5.34058e-07;5.34058e-07;1,82E-11;73;;;;-0.110001;-0.0400011;0,413205;73
-0.45;0.43;8.32667e-17;0.774715;0,619837;73;;;;-0.150001;0.729999;1,32009;73
-0.98;-0.05;-0.774716;3.8147e-07;0,619837;393;;;;-0.774716;-9.05036e-07;0,619837;393
0.93;0.56;0.774716;0.774716;1,23967;381;;;;0.774716;0.774716;1,23967;381
0.07;0.65;-7.62939e-08;0.774715;0,619837;401;;;;5.58252e-08;0.774716;0,619837;401
-0.26;-0.61;-5.34058e-07;-0.774716;0,619837;333;;;;7.27463e-07;-0.774717;0,619837;333
0.14;-0.42;-1.52588e-07;4.57764e-07;7,41E-12;73;;;;-1.52588e-07;-0.120001;0,426622;73
-0.7;-0.04;-0.774716;5.34058e-07;0,619837;277;;;;-0.774716;-1.23677e-06;0,619837;277
0.7;-0.88;0.774716;-0.774715;1,23967;361;;;;0.774715;-0.774716;1,23967;361
0.4;0.82;0.774716;0.774716;1,23967;73;;;;0.699999;0.774716;1,40274;73
-0.9;0.31;-0.774716;1.52588e-07;0,619837;257;;;;-0.774715;-2.1167e-07;0,619837;257
0.42;0.99;0.774715;0.774716;1,23967;73;;;;0.719999;0.840001;1,46394;73
0.89;0.56;0.774716;0.774716;1,23967;241;;;;0.774716;0.774717;1,23967;241
0.95;0.57;0.774715;0.774715;1,23967;433;;;;0.774715;0.774716;1,23967;433
-0.69;0.27;-0.774716;-4.57764e-07;0,619837;397;;;;-0.774715;-2.39875e-07;0,619837;397
-0.19;-0.17;5.34058e-07;-3.05176e-07;1,20E-11;101;;;;-1.94907e-07;1.11375e-07;1,60E-12;101
0.65;0.15;0.774715;-8.32667e-17;0,619837;409;;;;0.774716;-7.56517e-10;0,619837;409
0.9;-0.04;0.774716;5.34058e-07;0,619837;213;;;;0.774716;-1.33979e-09;0,619837;213
-0.96;-1;-0.774716;-0.774716;1,23967;357;;;;-0.774715;-0.774715;1,23967;357
-0.43;-0.73;3.05176e-07;-0.774715;0,619837;73;;;;-0.130001;-0.774715;1,11425;73
0.88;-0.87;0.774715;-0.774715;1,23967;241;;;;0.774715;-0.774716;1,23967;241
0.41;-0.36;0.774716;2.28882e-07;0,619837;73;;;;0.709999;-0.0600011;0,856297;73
0.58;0.55;0.774715;0.774716;1,23967;325;;;;0.774717;0.774716;1,23967;325
-0.62;0.93;-0.774716;0.774716;1,23967;237;;;;-0.774716;0.774715;1,23967;237
-0.08;-0.74;-7.62939e-08;-0.774716;0,619837;409;;;;1.63688e-07;-0.774716;0,619837;409
0.18;0.61;4.57764e-07;0.774716;0,619837;337;;;;-4.02733e-08;0.774716;0,619837;337
0.05;-0.17;-3.8147e-07;-3.05176e-07;7,60E-12;469;;;;5.19544e-07;8.83221e-08;8,84E-12;469
0.78;-0.47;0.774716;-3.05176e-07;0,619837;73;;;;0.774716;-0.170001;1,4153;73
0.45;0.09;0.774716;2.28882e-07;0,619837;73;;;;0.749999;2.28882e-07;0,638623;73
0.61;-0.96;0.774716;-0.774716;1,23967;297;;;;0.774716;-0.774716;1,23967;297
0.45;0;0.774716;0;0,619837;73;;;;0.749999;0;0,638623;73
-0.95;-0.59;-0.774715;-0.774716;1,23967;293;;;;-0.774716;-0.774716;1,23967;293
-0.82;0.75;-0.774716;0.774716;1,23967;329;;;;-0.774716;0.774716;1,23967;329
-0.39;-0.14;-2.28882e-07;1.52588e-07;2,41E-12;73;;;;-0.0900011;1.52588e-07;0,2477;73
-0.26;0.68;-5.34058e-07;0.774716;0,619837;317;;;;2.51232e-07;0.774716;0,619837;317
-0.19;-0.98;5.34058e-07;-0.774716;0,619837;337;;;;-5.42599e-07;-0.774716;0,619837;337
0.8;0.7;0.774715;0.774716;1,23967;317;;;;0.774716;0.774716;1,23967;317
0.36;0.1;0.774716;3.8147e-07;0,619837;73;;;;0.659999;3.8147e-07;0,981617;73
